City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,eyl,7.9803,49.8164,25.96,79,31,9.17,SO,1702232866
83,sisimiut,66.9395,-53.6735,-3.99,95,100,4.91,GL,1702232866
84,georgetown,5.4112,100.3354,27.96,92,20,0.51,MY,1702232577
85,khenifra,32.9333,-5.6667,19.01,37,6,0.92,MA,1702232834
86,neka,36.6508,53.299,10.73,82,0,2.06,IR,1702232866
87,lazaro cardenas,17.9583,-102.2,30.18,49,100,1.25,MX,1702232866
88,lihue,21.9789,-159.3672,23.77,85,20,4.63,US,1702232867
89,bredasdorp,-34.5322,20.0403,17.77,70,0,5.13,ZA,1702232867
90,cassilandia,-19.1133,-51.7342,39.66,21,63,0.95,BR,1702232867
91,ribeira grande,38.5167,-28.7,18.22,72,20,8.75,PT,1702232867
92,pacasmayo,-7.4006,-79.5714,23.34,71,13,6.19,PE,1702232867
93,sampit,-2.5333,112.95,23.91,99,99,1.05,ID,1702232867
94,battle ground,45.7809,-122.5334,11.23,97,100,2.24,US,1702232868
95,enewetak,11.3474,162.3373,27.66,72,85,7.05,MH,1702232868
96,esil,51.9556,66.4042,-30.27,100,99,2.44,KZ,1702232868
97,whitehorse,60.7161,-135.0538,-17.57,84,75,1.03,CA,1702232868
98,avarua,-21.2078,-159.775,26.03,83,75,11.83,CK,1702232868
99,san patricio,28.017,-97.5169,16.92,22,0,7.37,US,1702232868
100,juneau,58.3019,-134.4197,1.0,83,100,3.6,US,1702232869
101,nar'yan-mar,67.6713,53.087,-22.72,91,99,4.92,RU,1702232869
102,santiago de cao,-7.9589,-79.2392,22.07,73,0,5.66,PE,1702232869
103,xinyi,22.373,110.9475,21.04,86,7,0.91,CN,1702232869
104,tarfaya,27.9358,-12.9218,22.54,53,100,3.32,MA,1702232869
105,paramonga,-10.6667,-77.8333,22.8,72,27,5.29,PE,1702232869
106,bardai,11.65,7.2333,22.78,15,85,3.83,NG,1702232869
107,quellon,-43.1167,-73.6167,14.99,77,100,2.94,CL,1702232870
108,badger,64.8,-147.5333,-21.77,74,20,1.54,US,1702232870
109,ailuk,10.2197,169.9797,27.05,80,67,10.18,MH,1702232870
110,guiuan,11.0333,125.7247,27.82,80,89,6.99,PH,1702232870
111,kavieng,-2.5744,150.7967,27.95,77,100,5.91,PG,1702232870
112,portland,45.5234,-122.6762,12.01,96,100,4.92,US,1702232219
113,kurgan,55.45,65.3333,-27.25,94,26,4.02,RU,1702232870
114,port elizabeth,-33.918,25.5701,18.39,84,0,1.54,ZA,1702232871
115,kodiak,57.79,-152.4072,0.73,100,100,1.54,US,1702232814
116,kapa'a,22.0752,-159.319,24.18,89,20,4.63,US,1702232871
117,cabo san lucas,22.8909,-109.9124,28.17,61,0,2.06,MX,1702232716
118,carthage,36.8611,10.3316,16.74,77,20,4.12,TN,1702232871
119,polyarnyy,69.1989,33.4478,-10.47,84,100,8.76,RU,1702232715
120,susuman,62.7833,148.1667,-13.34,93,100,0.45,RU,1702232871
